poly_id,GID_2,NAME_1,NAME_2,EAD_nomang_usd,EAD_with_usd,EAD_avoided_usd,mangrove_ha,benefit_per_ha_year,NPV_benefits_usd,NPV_cost_low,NPV_cost_mid,NPV_cost_high,BCR_low,BCR_mid,BCR_high,pop_exposed_nomang,ntl_exposed_nomang,pop_exposed_with,ntl_exposed_with,pop_avoided,ntl_avoided
1,PHL.1.1_1,Abra,Bangued,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,PHL.1.2_1,Abra,Boliney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,PHL.1.3_1,Abra,Bucay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,PHL.1.4_1,Abra,Bucloc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,PHL.1.5_1,Abra,Daguioman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,PHL.1.6_1,Abra,Danglas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,PHL.1.7_1,Abra,Dolores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,PHL.1.8_1,Abra,La Paz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,PHL.1.9_1,Abra,Lacub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,PHL.1.10_1,Abra,Lagangilang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,PHL.1.11_1,Abra,Lagayan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,PHL.1.12_1,Abra,Langiden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,PHL.1.13_1,Abra,Licuan-Baay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,PHL.1.14_1,Abra,Luba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,PHL.1.15_1,Abra,Malibcong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,PHL.1.16_1,Abra,Manabo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,PHL.1.17_1,Abra,Peñarrubia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,PHL.1.18_1,Abra,Pidigan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,PHL.1.19_1,Abra,Pilar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,PHL.1.20_1,Abra,Sallapadan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,PHL.1.21_1,Abra,San Isidro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,PHL.1.22_1,Abra,San Juan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,PHL.1.23_1,Abra,San Quintin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,PHL.1.24_1,Abra,Tayum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,PHL.1.25_1,Abra,Tineg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,PHL.1.26_1,Abra,Tubo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,PHL.1.27_1,Abra,Villaviciosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,PHL.2.1_1,Agusan del Norte,Buenavista,634434.8552500001,634434.8552500001,0,0,0,0,0,0,0,0,0,0,0,4.647570610046387,0,4.647570610046387,0,0
29,PHL.2.2_1,Agusan del Norte,Butuan City,516.6046801757813,493.79256225585937,22.81211791992189,0,22812117919.921886,350.6781655434755,0,0,0,350678165543.47546,350678165543.47546,350678165543.47546,0,0,0,0,0,0
30,PHL.2.3_1,Agusan del Norte,Cabadbaran City,0,0,0,194.544189453125,0,0,291816.2841796875,778176.7578125,1945441.89453125,0,0,0,0,0,0,0,0,0
31,PHL.2.4_1,Agusan del Norte,Carmen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,PHL.2.5_1,Agusan del Norte,Jabonga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,PHL.2.6_1,Agusan del Norte,Kitcharao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,PHL.2.7_1,Agusan del Norte,Las Nieves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,PHL.2.8_1,Agusan del Norte,Magallanes,202230.96646875,139323.69015624997,62907.276312500035,432.62921142578125,145.4069088519973,967039.0243484931,648943.8171386719,1730516.845703125,4326292.1142578125,1.490173723531829,0.558815146324436,0.22352605852977436,42.21872329711914,4.971495628356934,16.764238357543945,2.105398416519165,25.454484939575195,2.8660972118377686
36,PHL.2.9_1,Agusan del Norte,Mainit Lake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,PHL.2.10_1,Agusan del Norte,Nasipit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,PHL.2.11_1,Agusan del Norte,Remedios T. Romualdez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,PHL.2.12_1,Agusan del Norte,Santiago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,PHL.2.13_1,Agusan del Norte,Tubay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,PHL.3.1_1,Agusan del Sur,Bayugan City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,PHL.3.2_1,Agusan del Sur,Bunawan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,PHL.3.3_1,Agusan del Sur,Esperanza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,PHL.3.4_1,Agusan del Sur,La Paz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,PHL.3.5_1,Agusan del Sur,Loreto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,PHL.3.6_1,Agusan del Sur,Prosperidad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,PHL.3.7_1,Agusan del Sur,Rosario,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,PHL.3.8_1,Agusan del Sur,San Francisco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,PHL.3.9_1,Agusan del Sur,San Luis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,PHL.3.10_1,Agusan del Sur,Santa Josefa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,PHL.3.11_1,Agusan del Sur,Sibagat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,PHL.3.12_1,Agusan del Sur,Talacogon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,PHL.3.13_1,Agusan del Sur,Trento,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,PHL.3.14_1,Agusan del Sur,Veruela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,PHL.4.1_1,Aklan,Altavas,230704.06624999997,230704.06624999997,0,0,0,0,0,0,0,0,0,0,2.3314507007598877,0.37825581431388855,2.3314507007598877,0.37825581431388855,0,0
56,PHL.4.2_1,Aklan,Balete,0,0,0,0,0,0,0,0,0,0,0,0,0.49555543065071106,0,0.49555543065071106,0,0,0
57,PHL.4.3_1,Aklan,Banga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,PHL.4.4_1,Aklan,Batan,287.2509835815429,287.2509835815429,0,84.94523620605469,0,0,127417.85430908203,339780.94482421875,849452.3620605469,0,0,0,18.8080997467041,0,18.8080997467041,0,0,0
59,PHL.4.5_1,Aklan,Buruanga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,PHL.4.6_1,Aklan,Ibajay,3325775.6789999995,2838342.049,487433.6299999994,123.25584411621094,3954.649237892736,7493049.606030717,184883.7661743164,493023.37646484375,1232558.4411621094,40.528434492003726,15.198162934501397,6.079265173800558,51.488590240478516,10.802248001098633,51.488590240478516,10.802248001098633,0,0
61,PHL.4.7_1,Aklan,Kalibo,3561533.502,3298364.6554999994,263168.84650000045,103.36384582519531,2546.043487440094,4045550.204622502,155045.76873779297,413455.38330078125,1033638.4582519531,26.092619215324543,9.784732205746703,3.9138928822986814,21.563365936279297,15.465787887573242,21.563365936279297,15.465787887573242,0,0
62,PHL.4.8_1,Aklan,Lezo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,PHL.4.9_1,Aklan,Libacao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,PHL.4.10_1,Aklan,Madalag,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,PHL.4.11_1,Aklan,Makato,345477.422625,342949.3599375,2528.0626875000307,0,2528062687500.031,38862.51985648402,0,0,0,38862519856484.016,38862519856484.016,38862519856484.016,22.991207122802734,3.0191354751586914,22.991207122802734,3.0191354751586914,0,0
66,PHL.4.12_1,Aklan,Malay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,PHL.4.13_1,Aklan,Malinao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,PHL.4.14_1,Aklan,Nabas,720628.984875,425521.73725,295107.24762499996,89.49565124511719,3297.4479041080867,4536521.711793496,134243.47686767578,357982.60498046875,894956.5124511719,33.793237613066,12.672464104899749,5.068985641959899,11.829557418823242,4.281950950622559,11.829557418823242,4.281950950622559,0,0
69,PHL.4.15_1,Aklan,New Washington,1854477.3750000005,1774966.0295000002,79511.34550000029,161.91026306152344,491.08280103150213,1222284.2647803149,242865.39459228516,647641.05224609375,1619102.6306152344,5.032764206000808,1.887286577250303,0.7549146309001211,62.06100845336914,16.752975463867188,62.06100845336914,16.752975463867188,0,0
70,PHL.4.16_1,Aklan,Numancia,310979.1388125,289865.958,21113.18081250001,0,21113180812500.008,324561.33806187863,0,0,0,324561338061878.6,324561338061878.6,324561338061878.6,28.517349243164062,2.214259624481201,28.517349243164062,2.214259624481201,0,0
71,PHL.4.17_1,Aklan,Tangalan,48.37801165771485,48.37801165771485,0,0,0,0,0,0,0,0,0,0,2.221675395965576,0,2.221675395965576,0,0,0
72,PHL.5.1_1,Albay,Bacacay,459924.8919374999,459924.8919374999,0,164.9651336669922,0,0,247447.70050048828,659860.53466796875,1649651.3366699219,0,0,0,20.119972229003906,12.77717399597168,20.119972229003906,12.77717399597168,0,0
73,PHL.5.2_1,Albay,Bato Lake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,PHL.5.3_1,Albay,Camalig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,PHL.5.4_1,Albay,Daraga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,PHL.5.5_1,Albay,Guinobatan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,PHL.5.6_1,Albay,Jovellar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,PHL.5.7_1,Albay,Legazpi City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,PHL.5.8_1,Albay,Libon,34608.964859374995,34608.964859374995,0,0,0,0,0,0,0,0,0,0,2.248544454574585,0.3391042947769165,2.248544454574585,0.3391042947769165,0,0
80,PHL.5.9_1,Albay,Ligao City,0,0,0,0,0,0,0,0,0,0,0,0,0.27830156683921814,0,0.27830156683921814,0,0,0
81,PHL.5.10_1,Albay,Malilipot,56662.385093749996,56213.2088125,449.17628124999464,0,449176281249.9946,6904.940385952891,0,0,0,6904940385952.891,6904940385952.891,6904940385952.891,0,0,0,0,0,0
82,PHL.5.11_1,Albay,Malinao,1238317.78375,838817.60725,399500.17649999994,95.89026641845703,4166.222406314056,6141296.898477296,143835.39962768555,383561.0656738281,958902.6641845703,42.69669993877651,16.011262477041193,6.404504990816476,49.35060119628906,18.46590232849121,49.35060119628906,18.46590232849121,0,0
83,PHL.5.12_1,Albay,Manito,11130.659734374998,6411.488701171875,4719.171033203123,163.8086395263672,28.80904845341512,72545.22559539907,245712.95928955078,655234.55810546875,1638086.3952636719,0.295243790987479,0.11071642162030462,0.04428656864812185,8.189180374145508,0.5993332266807556,0,0,8.189180374145508,0.5993332266807556
84,PHL.5.13_1,Albay,Oas,0,0,0,0,0,0,0,0,0,0,0,0,7.6017279624938965,0,7.6017279624938965,0,0,0
85,PHL.5.14_1,Albay,Pio Duran,729906.871875,561309.6988125,168597.17306249996,119.12407684326172,1415.30727901743,2591751.7861741697,178686.11526489258,476496.3073730469,1191240.7684326172,14.50449455645749,5.439185458671558,2.1756741834686233,3.881202220916748,2.5284385681152344,3.881202220916748,2.5284385681152344,0,0
86,PHL.5.15_1,Albay,Polangui,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,PHL.5.16_1,Albay,Rapu-Rapu,0,0,0,470.30303955078125,0,0,705454.5593261719,1881212.158203125,4703030.3955078125,0,0,0,0,0,0,0,0,0
88,PHL.5.17_1,Albay,Santo Domingo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,PHL.5.18_1,Albay,Tabaco City,646997.53,532455.94,114541.59000000008,0,114541590000000.08,1760784.9828162934,0,0,0,1760784982816293.2,1760784982816293.2,1760784982816293.2,15.586641311645508,5.663290500640869,15.586641311645508,5.663290500640869,0,0
90,PHL.5.19_1,Albay,Tiwi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,PHL.6.1_1,Antique,Anini-Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,PHL.6.2_1,Antique,Barbaza,1867.0172451171875,1867.0172451171875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,PHL.6.3_1,Antique,Belison,4923.665499999999,4923.665499999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,PHL.6.4_1,Antique,Bugasong,311.187540649414,311.187540649414,0,0,0,0,0,0,0,0,0,0,3.8629376888275146,0.004616750404238701,3.8629376888275146,0.004616750404238701,0,0
95,PHL.6.5_1,Antique,Caluya,63053503.936,60749939.247999996,2303564.688000001,509.53375244140625,4520.926586241996,35411435.35353664,764300.6286621094,2038135.009765625,5095337.5244140625,46.33181502875844,17.374430635784414,6.949772254313766,1.177512288093567,124.23831939697266,1.177512288093567,124.23831939697266,0,0
96,PHL.6.6_1,Antique,Culasi,812581.43125,812581.43125,0,0,0,0,0,0,0,0,0,0,20.007911682128906,8.659537315368652,20.007911682128906,8.659537315368652,0,0
97,PHL.6.7_1,Antique,Hamtic,6154338.7299999995,5475332.748000001,679005.9819999989,86.96334075927734,7807.956502953939,10437986.205255467,130445.01113891602,347853.3630371094,869633.4075927734,80.0182859744605,30.00685724042269,12.002742896169075,35.19169616699219,28.998872756958008,35.19169616699219,28.998872756958008,0,0
98,PHL.6.8_1,Antique,Laua-An,33802.66946875,33802.66946875,0,0,0,0,0,0,0,0,0,0,7.2120819091796875,0.5014933347702026,7.2120819091796875,0.5014933347702026,0,0
99,PHL.6.9_1,Antique,Libertad,0,0,0,0,0,0,0,0,0,0,0,0,11.270821571350098,0,11.270821571350098,0,0,0
100,PHL.6.10_1,Antique,Pandan,1249481.25475,1249481.25475,0,0,0,0,0,0,0,0,0,0,40.236263275146484,15.358905792236328,40.236263275146484,15.358905792236328,0,0
101,PHL.6.11_1,Antique,Patnongon,32520.552648437508,32520.552648437508,0,0,0,0,0,0,0,0,0,0,9.704582214355469,0.24088098108768463,9.704582214355469,0.24088098108768463,0,0
102,PHL.6.12_1,Antique,San Jose,179705.30353125,176784.27646875,2921.027062500012,37.21210861206055,78.49668216740879,44903.345466480845,55818.16291809082,148848.4344482422,372121.08612060547,0.8044576015941856,0.30167160059781956,0.12066864023912782,0,1.2785440683364868,0,1.2785440683364868,0,0
103,PHL.6.13_1,Antique,San Remigio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,PHL.6.14_1,Antique,Sebaste,620.8886484375,620.8886484375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,PHL.6.15_1,Antique,Sibalom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,PHL.6.16_1,Antique,Tibiao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,PHL.6.17_1,Antique,Tobias Fornier,37399.657289062496,37399.657289062496,0,0,0,0,0,0,0,0,0,0,3.6244277954101562,0,3.6244277954101562,0,0,0
108,PHL.6.18_1,Antique,Valderrama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,PHL.7.1_1,Apayao,Calanasan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,PHL.7.2_1,Apayao,Conner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,PHL.7.3_1,Apayao,Flora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,PHL.7.4_1,Apayao,Kabugao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,PHL.7.5_1,Apayao,Luna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,PHL.7.6_1,Apayao,Pudtol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,PHL.7.7_1,Apayao,Santa Marcela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,PHL.8.1_1,Aurora,Baler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,PHL.8.2_1,Aurora,Casiguran,272864.45875000005,222208.94603124997,50655.51271875008,285.5545654296875,177.39346118499742,778699.3885106259,428331.84814453125,1142218.26171875,2855545.654296875,1.8179815297037423,0.6817430736389033,0.27269722945556135,7.8921661376953125,2.0873985290527344,7.8921661376953125,2.0873985290527344,0,0
118,PHL.8.3_1,Aurora,Dilasag,55002.0446953125,31695.744312500003,23306.300382812497,196.16114807128906,118.81201049222295,358274.96125260566,294241.7221069336,784644.59228515625,1961611.4807128906,1.2176212084647908,0.4566079531742966,0.18264318126971862,4.579244613647461,0.6781864166259766,4.579244613647461,0.6781864166259766,0,0
119,PHL.8.4_1,Aurora,Dinalungan,20620.028703125,20620.028703125,0,0,0,0,0,0,0,0,0,0,4.248902320861816,1.447520136833191,4.248902320861816,1.447520136833191,0,0
120,PHL.8.5_1,Aurora,Dingalan,0,0,0,0,0,0,0,0,0,0,0,0,2.3405940532684326,0,2.3405940532684326,0,0,0
121,PHL.8.6_1,Aurora,Dipaculao,0,0,0,0,0,0,0,0,0,0,0,0,4.184776306152344,0,4.184776306152344,0,0,0
122,PHL.8.7_1,Aurora,Maria Aurora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,PHL.8.8_1,Aurora,San Luis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,PHL.9.1_1,Basilan,Akbar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,PHL.9.2_1,Basilan,Al-Barka,0,0,0,362.49798583984375,0,0,543746.9787597656,1449991.943359375,3624979.8583984375,0,0,0,2.7080295085906982,0,2.7080295085906982,0,0,0
126,PHL.9.3_1,Basilan,Hadji Mohammad Ajul,0,0,0,167.74237060546875,0,0,251613.55590820312,670969.482421875,1677423.7060546875,0,0,0,0,0,0,0,0,0
127,PHL.9.4_1,Basilan,Isabela City,195249.99834375,115861.243328125,79388.75501562499,741.14434814453125,107.11645472892862,1220399.7485628938,1111716.5222167969,2964577.392578125,7411443.4814453125,1.097761636329178,0.41166061362344175,0.1646642454493767,40.382537841796875,1.7411420345306396,40.382537841796875,1.7411420345306396,0,0
128,PHL.9.5_1,Basilan,Lamitan City,0,0,0,13.162796020507812,0,0,19744.19403076172,52651.18408203125,131627.96020507812,0,0,0,0,0,0,0,0,0
129,PHL.9.6_1,Basilan,Lantawan,0,0,0,2099.48974609375,0,0,3149234.619140625,8397958.984375,20994897.4609375,0,0,0,3.4175963401794434,0,3.4175963401794434,0,0,0
130,PHL.9.7_1,Basilan,Maluso,923860.8544999999,713245.42675,210615.42774999992,486.11444091796875,433.26305499642837,3237675.3485928527,729171.6613769531,1944457.763671875,4861144.4091796875,4.440210063126825,1.6650787736725592,0.6660315094690237,44.79907989501953,9.045114517211914,44.79907989501953,9.045114517211914,0,0
131,PHL.9.8_1,Basilan,Sumisip,0,0,0,1383.167724609375,0,0,2074751.5869140625,5532670.8984375,13831677.24609375,0,0,0,7.557360649108887,0,7.2434492111206055,0,0.31391143798828125,0
132,PHL.9.9_1,Basilan,Tipo-Tipo,0,0,0,78.51343536376953,0,0,117770.1530456543,314053.7414550781,785134.3536376953,0,0,0,0.14566758275032043,0,0.14566758275032043,0,0,0
133,PHL.9.10_1,Basilan,Tuburan,0,0,0,57.87796401977539,0,0,86816.94602966309,231511.85607910156,578779.6401977539,0,0,0,0,0,0,0,0,0
134,PHL.9.11_1,Basilan,Ungkaya Pukan,0,0,0,0,0,0,0,0,0,0,0,0,0.9543459415435791,0,0.9543459415435791,0,0,0
135,PHL.10.1_1,Bataan,Abucay,192957.73925000004,187439.1474375,5518.591812500032,0,5518591812500.031,84834.2823750133,0,0,0,84834282375013.3,84834282375013.3,84834282375013.3,4.019914627075195,14.488900184631348,0,0,4.019914627075195,14.488900184631348
136,PHL.10.2_1,Bataan,Bagac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,PHL.10.3_1,Bataan,Balanga City,224747.04237500002,196126.337875,28620.70450000002,51.55682373046875,555.1293200222093,439970.37828113534,77335.235595703125,206227.294921875,515568.2373046875,5.6891321904187855,2.1334245714070446,0.8533698285628178,0,0,0,0,0,0
138,PHL.10.4_1,Bataan,Dinalupihan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,PHL.10.5_1,Bataan,Hermosa,159719.51225,159015.263875,704.2483749999956,0,704248374999.9955,10826.023655449246,0,0,0,10826023655449.244,10826023655449.244,10826023655449.244,0,3.7164676189422607,0,3.7164676189422607,0,0
140,PHL.10.6_1,Bataan,Limay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,PHL.10.7_1,Bataan,Mariveles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,PHL.10.8_1,Bataan,Morong,4201.3275390625,4201.3275390625,0,0.15537187457084656,0,0,233.05781185626984,621.4874982833862,1553.7187457084656,0,0,0,0,0,0,0,0,0
143,PHL.10.9_1,Bataan,Orani,9869756.312,9824678.462,45077.85000000149,0,45077850000001.484,692957.0415221931,0,0,0,692957041522193.1,692957041522193.1,692957041522193.1,206.61961364746094,95.95178985595703,206.61961364746094,95.95178985595703,0,0
144,PHL.10.10_1,Bataan,Orion,8085035.512000001,8037411.58,47623.93200000096,0,47623932000000.96,732096.5623776128,0,0,0,732096562377612.75,732096562377612.75,732096562377612.75,100.36979675292969,57.4389533996582,100.36979675292969,57.4389533996582,0,0
145,PHL.10.11_1,Bataan,Pilar,10806953.054,9817278.092000002,989674.9619999975,0,989674961999997.4,15213729.885877088,0,0,0,15213729885877086,15213729885877086,15213729885877086,31.478439331054688,42.665130615234375,31.478439331054688,42.665130615234375,0,0
146,PHL.10.12_1,Bataan,Samal,14068507.159999998,13968455.089999998,100052.0700000003,0,100052070000000.3,1538045.5462132574,0,0,0,1538045546213257.2,1538045546213257.2,1538045546213257.2,82.52915954589844,72.15991973876953,82.52915954589844,72.15991973876953,0,0
147,PHL.11.1_1,Batanes,Basco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,PHL.11.2_1,Batanes,Itbayat,0,0,0,0,0,0,0,0,0,0,0,0,0.15070685744285583,0,0.15070685744285583,0,0,0
149,PHL.11.3_1,Batanes,Ivana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,PHL.11.4_1,Batanes,Mahatao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,PHL.11.5_1,Batanes,Sabtang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,PHL.11.6_1,Batanes,Uyugan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,PHL.12.1_1,Batangas,Agoncillo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,PHL.12.2_1,Batangas,Alitagtag,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,PHL.12.3_1,Batangas,Balayan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,PHL.12.4_1,Batangas,Balete,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,PHL.12.5_1,Batangas,Batangas City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,PHL.12.6_1,Batangas,Bauan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,PHL.12.7_1,Batangas,Calaca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,PHL.12.8_1,Batangas,Calatagan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,PHL.12.9_1,Batangas,Cuenca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,PHL.12.10_1,Batangas,Ibaan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,PHL.12.11_1,Batangas,Laurel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,PHL.12.12_1,Batangas,Lemery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,PHL.12.13_1,Batangas,Lian,764209.3235,589981.3046249999,174228.01887500018,76.4329833984375,2279.4873512494855,2678311.6876667575,114649.47509765625,305731.93359375,764329.833984375,23.36087178232105,8.760326918370392,3.504130767348157,0,2.200900077819824,0,2.200900077819824,0,0
166,PHL.12.14_1,Batangas,Lipa City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,PHL.12.15_1,Batangas,Lobo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,PHL.12.16_1,Batangas,Mabini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,PHL.12.17_1,Batangas,Malvar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,PHL.12.18_1,Batangas,Mataas Na Kahoy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,PHL.12.19_1,Batangas,Nasugbu,39694.792021484376,36379.672119140625,3315.119902343751,0,3315119902343.751,50961.518347023906,0,0,0,50961518347023.91,50961518347023.91,50961518347023.91,0,0,0,0,0,0
172,PHL.12.20_1,Batangas,Padre Garcia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,PHL.12.21_1,Batangas,Rosario,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,PHL.12.22_1,Batangas,San Jose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,PHL.12.23_1,Batangas,San Juan,16534.366789062497,14586.556939453125,1947.8098496093717,196.06423950195312,9.934549281180713,29942.611522800074,294096.3592529297,784256.9580078125,1960642.3950195312,0.10181224819940302,0.038179593074776134,0.015271837229910453,3.957549571990967,0.16139979660511017,3.957549571990967,0.16139979660511017,0,0
